frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
24,4,282.629,194.503,223.852,39.6174,0
24,3,901.728,131.754,868.307,55.2864,0
24,2,672.486,157.207,629.337,23.9653,0
24,7,525.487,120.053,474.632,57.325,0
24,6,1146.62,441.266,1060.44,300.201,0
24,5,848.798,116.079,811.584,68.9896,0
24,10,165.099,413.928,104.391,321.924,0
24,8,974.162,196.439,927.194,69.0775,0
24,12,609.823,407.991,488.313,255.154,1
24,11,398.111,100.38,355.101,49.445,0
24,13,460.801,115.986,415.901,63.1787,0
24,9,382.55,5.35357,366.824,5.34804,0
25,0,805.741,135.668,739.083,24.0898,0
25,1,705.821,568.686,556.972,400.19,1
25,4,282.582,161.109,223.858,39.6092,0
25,2,676.356,163.059,629.371,23.9359,0
25,3,901.72,131.715,868.305,55.2895,0
25,6,1146.62,441.261,1060.45,300.232,0
25,5,848.794,116.102,811.603,68.9957,0
25,7,525.488,118.144,476.505,57.3448,0
25,9,382.545,49.4608,353.121,5.34809,0
25,10,167.01,413.931,104.403,321.906,0
25,8,974.156,196.453,927.183,69.0604,0
25,12,594.091,409.98,480.502,255.217,1
25,11,398.137,100.385,355.114,49.4502,0
25,13,460.8,114.079,415.924,63.1684,0
26,0,805.749,135.655,737.143,24.089,0
26,1,707.705,568.67,556.966,400.123,1
26,4,282.597,161.118,223.846,39.6081,0
26,2,676.397,165.114,627.43,22.1536,0
26,3,901.72,131.71,868.299,55.2912,0
26,7,525.49,121.944,474.632,57.3372,0
26,6,1146.61,441.258,1060.45,300.222,0
26,5,848.795,116.136,809.675,68.9836,0
26,9,382.544,49.4631,353.124,5.34799,0
26,10,165.093,415.773,104.381,321.865,0
26,8,974.154,198.35,927.182,69.0566,0
26,12,602.008,429.512,476.64,245.397,1
26,11,398.121,100.375,355.118,49.441,0
26,13,460.796,114.12,415.924,61.2466,0
27,0,805.743,135.679,737.134,24.09,0
27,1,707.718,568.67,556.978,398.279,1
27,4,282.601,161.16,223.862,39.5956,0
27,2,676.357,167.066,627.441,22.1296,0
27,3,901.711,131.708,868.297,55.2913,0
27,7,525.484,121.952,474.572,57.3542,0
27,6,1146.61,441.26,1060.46,300.217,0
27,9,382.539,49.4592,353.126,5.34772,0
27,5,848.78,116.14,809.682,68.9851,0
27,8,972.253,198.348,927.176,69.0349,0
27,10,167.041,413.915,106.26,321.794,0
27,12,599.918,411.919,476.498,245.379,1
27,11,396.224,100.334,355.132,47.5421,0
27,13,458.923,110.198,417.815,63.1676,0
28,1,707.732,570.511,556.962,398.223,1
28,0,805.728,135.684,735.201,24.0854,0
28,2,676.425,172.904,631.282,22.1234,0
28,4,278.72,159.174,223.877,39.5922,0
28,3,901.709,135.687,868.285,55.2902,0
28,6,1146.61,439.379,1060.46,300.226,0
28,5,848.789,116.158,809.633,68.972,0
28,7,525.469,118.091,474.567,57.3502,0
28,10,167.044,413.913,104.406,321.757,0
28,8,974.137,198.359,927.172,69.0275,0
28,12,588.336,411.879,474.623,247.375,1
28,11,396.269,100.374,353.176,47.545,0
28,13,458.88,104.375,417.808,65.1195,0
28,9,382.537,5.35215,366.811,5.34621,0
28,14,94.5319,72.9631,55.2971,4.38572,0
29,0,805.745,135.697,737.148,24.0905,0
29,1,707.722,568.663,556.971,398.117,1
29,4,280.663,161.102,223.869,39.6054,0
29,3,901.707,133.758,868.286,55.2888,0
29,2,676.414,163.126,633.231,22.0819,0
29,7,525.478,120.076,474.588,57.3246,0
29,6,1146.62,439.375,1060.45,300.235,0
29,8,972.222,198.367,927.182,69.031,0
29,10,165.122,413.93,104.386,321.834,0
29,5,848.772,116.096,809.686,68.9887,0
29,12,584.316,411.92,474.629,249.289,1
29,11,396.17,98.4649,355.121,47.5191,0
29,9,382.54,5.35296,366.82,5.34744,0
29,13,458.896,104.372,417.773,65.1161,0
29,14,92.5717,72.9985,55.3265,4.38157,0
30,0,805.75,135.688,740.994,24.0918,0
30,1,707.703,568.674,558.819,390.397,1
