frame,numero_pers,joint,x,y,z,tracking
13,3,15,146.41913,-1203.3573,0.0,3
13,3,16,106.33196,-1203.2009,0.0,3
13,4,15,337.40863,-1124.3214,0.0,4
13,4,16,313.22372,-1124.2338,0.0,4
13,5,15,202.87839,-1162.748,0.0,5
13,5,16,186.30823,-1162.6858,0.0,5
13,6,15,269.63336,-1209.3854,0.0,6
13,6,16,252.6656,-1209.3188,0.0,6
13,7,15,-152.25064,-1166.33,0.0,7
13,7,16,-168.0075,-1166.2704,0.0,7
13,8,15,-699.36707,-1555.1559,0.0,8
13,8,16,-683.9616,-1455.6525,0.0,8
13,9,15,-222.49916,-1149.8019,0.0,9
13,9,16,-243.42134,-1149.7241,0.0,9
13,10,15,-316.06647,-1177.1346,0.0,10
13,10,16,-346.8438,-1177.0172,0.0,10
13,11,15,-404.78552,-1037.6094,0.0,11
13,11,16,-434.17374,-1029.7504,0.0,11
13,12,15,-382.98447,-111.33697,0.0,12
13,12,16,-382.98447,-111.33697,0.0,12
13,13,15,-722.7781,-1216.0851,0.0,13
13,13,16,-722.7781,-1216.0851,0.0,13
14,0,15,-58.301018,166.02074,0.0,0
14,0,16,30.82391,194.40688,0.0,0
14,1,15,352.44568,-109.17598,0.0,1
14,1,16,351.86127,-115.55885,0.0,1
14,2,15,-100.23237,-406.2487,1.1368684e-13,2
14,2,16,-102.79857,-172.26476,1.1368684e-13,2
14,3,15,146.44005,-1203.2373,0.0,3
14,3,16,106.32829,-1203.081,0.0,3
14,4,15,337.4044,-1124.3014,0.0,4
14,4,16,313.21664,-1124.2137,0.0,4
14,5,15,202.92882,-1162.4883,0.0,5
14,5,16,186.34555,-1162.426,0.0,5
14,6,15,269.64304,-1209.4067,0.0,6
14,6,16,252.68515,-1209.3403,0.0,6
14,7,15,-152.23279,-1166.3945,0.0,7
14,7,16,-167.78407,-1166.3358,0.0,7
14,8,15,-699.141,-1555.1632,0.0,8
14,8,16,-683.9648,-1455.6604,0.0,8
14,9,15,-222.49146,-1149.8015,0.0,9
14,9,16,-243.41545,-1149.7238,0.0,9
14,10,15,-316.07196,-1177.1735,0.0,10
14,10,16,-346.8449,-1177.056,0.0,10
14,11,15,-403.93594,-1028.994,0.0,11
14,11,16,-433.4763,-1022.6266,0.0,11
14,12,15,-382.97638,-111.32249,0.0,12
14,12,16,-382.97638,-111.32249,0.0,12
14,13,15,-722.8385,-1216.1713,0.0,13
14,13,16,-722.8385,-1216.1713,0.0,13
15,0,15,-58.30552,166.30183,0.0,0
15,0,16,30.383865,194.6658,0.0,0
15,1,15,352.51938,-110.035484,0.0,1
15,1,16,352.14355,-115.35857,1.1368684e-13,1
15,2,15,-100.53238,-404.9319,0.0,2
15,2,16,-102.82176,-173.27605,1.1368684e-13,2
15,3,15,146.44284,-1203.2582,0.0,3
15,3,16,106.334564,-1203.1018,0.0,3
15,4,15,337.4807,-1124.6211,0.0,4
15,4,16,313.3223,-1124.5336,0.0,4
15,5,15,202.92021,-1162.1996,0.0,5
15,5,16,186.32402,-1162.1372,0.0,5
15,6,15,269.7134,-1208.1655,0.0,6
15,6,16,252.66318,-1208.0988,0.0,6
15,7,15,-152.26384,-1166.881,0.0,7
15,7,16,-167.8036,-1166.8223,0.0,7
15,8,15,-699.20325,-1554.09,0.0,8
15,8,16,-683.9757,-1455.6892,0.0,8
15,9,15,-222.38148,-1149.8219,0.0,9
15,9,16,-243.30887,-1149.7441,0.0,9
15,10,15,-316.0407,-1176.8666,0.0,10
15,10,16,-346.84268,-1176.7491,0.0,10
15,11,15,-404.9484,-1034.2399,0.0,11
15,11,16,-434.35095,-1030.9323,0.0,11
15,12,15,-382.97968,-111.33323,0.0,12
15,12,16,-382.97968,-111.33323,0.0,12
15,13,15,-722.8359,-1216.3942,0.0,13
15,13,16,-722.8359,-1216.3942,0.0,13
16,0,15,-58.651505,165.59526,0.0,0
16,0,16,30.40139,195.0409,0.0,0
16,1,15,352.51492,-109.990036,0.0,1
16,1,16,352.26398,-116.379486,-1.1368684e-13,1
16,2,15,-100.25695,-406.15787,0.0,2
16,2,16,-102.82012,-172.29584,0.0,2
16,3,15,146.43341,-1203.3091,0.0,3
16,3,16,106.33051,-1203.1527,0.0,3
16,4,15,337.43036,-1124.4338,0.0,4
16,4,16,313.25134,-1124.3462,0.0,4
16,5,15,202.88802,-1162.5355,0.0,5
16,5,16,186.31636,-1162.4733,0.0,5
16,6,15,270.90915,-1207.9731,0.0,6
16,6,16,252.55646,-1207.9014,0.0,6
16,7,15,-152.01517,-1166.4166,0.0,7
16,7,16,-167.77647,-1166.3572,0.0,7
16,8,15,-698.9715,-1554.0958,0.0,8
16,8,16,-683.9732,-1455.6952,0.0,8
16,9,15,-222.49646,-1149.7684,0.0,9
16,9,16,-243.42154,-1149.6907,0.0,9
16,10,15,-316.07193,-1177.1964,0.0,10
16,10,16,-346.83267,-1177.079,0.0,10
16,11,15,-404.64688,-1033.9492,0.0,11
16,11,16,-432.93338,-1019.5617,0.0,11
16,12,15,-382.95825,-111.22784,0.0,12
16,12,16,-382.95825,-111.22784,0.0,12
16,13,15,-722.7897,-1216.414,0.0,13
16,13,16,-722.7897,-1216.414,0.0,13
17,0,15,-58.672367,164.09886,0.0,0
17,0,16,29.999306,195.71588,0.0,0
17,1,15,352.53293,-110.056854,0.0,1
17,1,16,351.94824,-116.44725,-1.1368684e-13,1
17,2,15,-99.12083,-404.81204,0.0,2
17,2,16,-102.81372,-172.15912,0.0,2
17,3,15,146.43309,-1203.3895,0.0,3
17,3,16,106.09908,-1203.2323,0.0,3
17,4,15,337.47168,-1124.732,0.0,4
17,4,16,313.32364,-1124.6445,0.0,4
17,5,15,202.90916,-1162.496,0.0,5
17,5,16,186.33183,-1162.4337,0.0,5
17,6,15,270.67627,-1209.631,0.0,6
17,6,16,252.27415,-1209.5588,0.0,6
17,7,15,-152.35669,-1167.7845,0.0,7
17,7,16,-168.03357,-1167.7252,0.0,7
17,8,15,-699.15515,-1555.1793,0.0,8
17,8,16,-683.9794,-1455.6812,0.0,8
17,9,15,-222.48744,-1149.9534,0.0,9
17,9,16,-243.39963,-1149.8756,0.0,9
17,10,15,-271.76773,-1177.2427,0.0,10
17,10,16,-346.86487,-1176.9563,0.0,10
17,11,15,-404.57343,-1029.636,0.0,11
17,11,16,-432.4383,-1015.2892,0.0,11
17,12,15,-382.9289,-111.16977,0.0,12
17,12,16,-382.9289,-111.16977,0.0,12
17,13,15,-722.8101,-1215.9037,0.0,13
17,13,16,-722.8101,-1215.9037,0.0,13
18,0,15,-58.301105,164.55618,0.0,0
18,0,16,30.034275,196.18329,-1.1368684e-13,0
18,1,15,352.5264,-109.96633,0.0,1
18,1,16,352.27533,-116.3585,0.0,1
18,2,15,-98.70495,-404.78857,0.0,2
18,2,16,-102.808655,-172.9797,0.0,2
18,3,15,146.44098,-1203.438,0.0,3
18,3,16,106.10013,-1203.2806,0.0,3
18,4,15,337.4704,-1124.719,0.0,4
18,4,16,313.32547,-1124.6315,0.0,4
18,5,15,202.90161,-1162.5801,0.0,5
18,5,16,186.32797,-1162.5177,0.0,5
18,6,15,270.7151,-1208.4487,0.0,6
18,6,16,252.22562,-1208.3763,0.0,6
18,7,15,-152.27687,-1166.225,0.0,7
18,7,16,-167.8471,-1166.1661,0.0,7
18,8,15,-699.3672,-1555.1284,0.0,8
18,8,16,-683.9604,-1455.617,0.0,8
18,9,15,-222.50735,-1150.0409,0.0,9
18,9,16,-243.41402,-1149.9631,0.0,9
18,10,15,-316.11957,-1176.8895,0.0,10
18,10,16,-346.92816,-1176.7721,0.0,10
18,11,15,-404.03265,-1029.7301,0.0,11
18,11,16,-431.92917,-1012.45233,0.0,11
18,12,15,-383.11694,-111.46306,1.1368684e-13,12
18,12,16,-383.11694,-111.46306,1.1368684e-13,12
18,13,15,-722.8145,-1215.7417,0.0,13
18,13,16,-722.8145,-1215.7417,0.0,13
19,0,15,-58.48118,164.1685,0.0,0
19,0,16,29.691784,195.7411,0.0,0
19,1,15,352.52438,-109.93499,0.0,1
19,1,16,352.27335,-116.327415,0.0,1
19,2,15,-98.738464,-406.09546,0.0,2
19,2,16,-102.80231,-172.91447,0.0,2
19,3,15,146.44676,-1203.413,0.0,3
19,3,16,106.35153,-1203.2567,0.0,3
19,4,15,337.4817,-1124.6644,0.0,4
19,4,16,313.35837,-1124.577,0.0,4
19,5,15,202.90973,-1162.9631,0.0,5
19,5,16,186.5199,-1162.9015,0.0,5
19,6,15,270.69107,-1207.945,0.0,6
19,6,16,252.19109,-1207.8726,0.0,6
19,7,15,-152.03395,-1166.2566,0.0,7
19,7,16,-168.00635,-1166.1963,0.0,7
19,8,15,-699.3654,-1555.1421,1.1368684e-13,8
19,8,16,-684.1285,-1456.6805,0.0,8
19,9,15,-222.49075,-1150.0151,0.0,9
19,9,16,-243.40117,-1149.9374,0.0,9
19,10,15,-271.7189,-1176.9773,0.0,10
19,10,16,-346.90692,-1176.6907,0.0,10
19,11,15,-404.1456,-1030.9712,0.0,11
19,11,16,-433.26785,-1021.4917,0.0,11
19,12,15,-383.10168,-111.3684,1.1368684e-13,12
19,12,16,-383.10168,-111.3684,1.1368684e-13,12
19,13,15,-722.8865,-1215.5494,0.0,13
19,13,16,-722.8865,-1215.5494,0.0,13
20,0,15,-58.34127,163.97897,0.0,0
20,0,16,29.546885,195.58661,0.0,0
20,1,15,352.57806,-109.93437,0.0,1
20,1,16,352.3272,-116.3257,0.0,1
20,2,15,-98.36333,-406.029,1.1368684e-13,2
20,2,16,-102.789055,-172.9382,0.0,2
